stage,model,avg_response_length,accuracy
Abstract Only,qwen-2.5-72B,3366.23,23.0
Abstract Only,gpt-4o,3035.28,55.00000000000001
Abstract Only,qwq,8335.54,50.0
Abstract Only,llama-3.1-8B,2812.27,37.0
Abstract Only,llama-3.3-70B,2947.02,26.0
Abstract Only,gpt-4o-mini,3207.04,39.0
Abstract Only,o3-mini,2201.1,40.0
Abstract Only,deepseek-r1,6212.45,50.0
With Reviews,qwen-2.5-72B,3583.14,82.0
With Reviews,gpt-4o,3030.14,86.0
With Reviews,qwq,7698.94,84.0
With Reviews,llama-3.1-8B,2658.39,80.0
With Reviews,llama-3.3-70B,2703.63,87.0
With Reviews,gpt-4o-mini,3205.66,85.0
With Reviews,o3-mini,2660.25,86.0
With Reviews,deepseek-r1,5350.14,88.0
After Rebuttal,qwen-2.5-72B,3471.1,64.0
After Rebuttal,gpt-4o,3061.96,90.0
After Rebuttal,qwq,6850.55,79.0
After Rebuttal,llama-3.1-8B,2453.18,62.0
After Rebuttal,llama-3.3-70B,2571.44,72.0
After Rebuttal,gpt-4o-mini,3443.26,85.0
After Rebuttal,o3-mini,2639.4,79.0
After Rebuttal,deepseek-r1,5097.38,82.0
