task,model,avg_response_length,accuracy
amazon,deepseek-r1,4965.45,52.0
llm,deepseek-r1,4753.0,81.0
amazon,gemma-2-27B,794.99,45.0
llm,gemma-2-27B,831.62,59.0
amazon,gpt-4o-mini,1971.5,48.0
llm,gpt-4o-mini,1880.68,76.0
amazon,gpt-4o,1849.29,45.0
llm,gpt-4o,1763.33,75.0
amazon,llama-3.1-8B,1958.66,47.0
llm,llama-3.1-8B,1904.26,56.99999999999999
amazon,llama-3.3-70B,2047.43,51.0
llm,llama-3.3-70B,2214.09,78.0
amazon,o3-mini,762.95,51.0
llm,o3-mini,752.44,71.0
amazon,qwen-2.5-72B,2590.29,59.0
llm,qwen-2.5-72B,2450.47,72.0
amazon,qwq,6240.53,50.0
llm,qwq,6287.97,74.0
