task,model,avg_response_length,accuracy
entity,gpt-4o,1686.34,71.5
persona,gpt-4o,1822.59,76.0
entity,deepseek-r1,5434.89,71.0
persona,qwen-2.5-72B,1657.98,68.0
persona,gemma-3-27B,1597.76,71.5
entity,qwen-2.5-72B,1657.59,64.0
persona,gpt-4o-mini,1656.3,79.0
entity,qwq,6501.09,68.5
persona,deepseek-r1,3981.5,74.5
persona,o3-mini,871.0,71.5
entity,gemma-3-27B,1745.42,57.49999999999999
entity,llama-3.3-70B,1775.4,73.5
entity,gpt-4o-mini,1470.85,55.50000000000001
entity,o3-mini,770.98,70.0
persona,qwq,5419.93,72.0
persona,llama-3.3-70B,2230.78,78.5
